tema;data;link;duration;tags
Análises de dados da bolsa de valores - Inácio Medeiros | Live de Python #217;20220829;http://youtu.be/GRfQyBpSRjg;6735;análise de dados, bolsa, b3, Inácio medeiros, pandas, python, live de python, dunossauro
Pergunte o que quiser sobre Python | Live de Python #216;20220822;http://youtu.be/7BVoKUCVXIo;7365;python, live de python, dunossauro
Mercado de trabalho Python, suas ferramentas e salários | Live de Python #215;20220815;http://youtu.be/Wmxp0Qm0zeU;7910;empregos, emprego, python, mercado de trabalho, mercado, profissoes, areas, ferramentas, live de python, dunossauro
Como fazer agendamento de tarefas com Python e Rocketry | Live de Python #214;20220808;http://youtu.be/eepX8Bb2BxI;8800;python, live de python, dunossauro, Agendamento, scheduler, rocketry, tarefas, tasks
O que são decoradores? | Live de Python #213;20220801;http://youtu.be/lL9amfaaRws;9104;python, live de python, dunossauro, funções com objeto, funções de primeira classe, Funções de ordem superior, closures, decoradores, nonlocal, variaveis livres
Automatizando edição de vídeos com Moviepy | Live de Python #212;20220725;http://youtu.be/oOo1uENjXhI;8130;python, live de python, dunossauro, Automação, moviepy, edição de vídeos
Migrações, bancos de dados evolutivos (Alembic e SQLAlchemy) | Live de Python #211;20220718;http://youtu.be/yQtqkq9UkDA;6125;Migrations, Migrações, Alembic, Bancos de dados, SQLAlchemy, SQLAcodegen, python, live de python, dunossauro
Como fazer bots para telegram com Pyrogram | Live de Python #210;20220711;http://youtu.be/bO-ksqJNPXg;7913;bot, telegram, pyrogram, deploy, heroku, uvloop, python, live de python, dunossauro
Interfaces gráficas com QT e PySide | Live de Python #209;20220704;http://youtu.be/5S2paeDKTLk;9220;PySide, QT, PyQT, Interfaces gráficas, python, live de python, dunossauro
Pergunte o que quiser sobre Python | Live de Python #208;20220627;http://youtu.be/lcf7XiWuOeo;7455;python, live de python, dunossauro, Q&A, Pergunte o que quiser
Variáveis de ambiente, dotenv, constantes e configurações | Live de Python #207;20220620;http://youtu.be/DiiKff1z2Yw;5925;envvar, variáveis de ambiente, dotenv, dynaconf, .env, python, live de python, dunossauro, 12 factory app
Monitorando o sistema e processos com PSUtil - Live de Python #206;20220613;http://youtu.be/H32lpY8Jipo;8880;python, live de python, dunossauro, psutil, disk, disco, memória, memory, consumo, cpu, processador, rede, network, py-dashing
Plone, o CMS pythonico - Live de Python #205 | Com Érico Andrei;20220606;http://youtu.be/CcYqwUfp6UQ;7400;plone, cms, Érico Andrei, python, live de python, dunossauro
Profiling, identificando problemas de performance - Live de Python #204;20220530;http://youtu.be/cHraQ2I0Xgk;6590;timeit, profile, cProfile, snakeviz, py-spy, pstats, eliot, pyinstrument, python, live de python, dunossauro
Datetime, manipulando datas e horários - Live de Python #203;20220523;http://youtu.be/BImF-dZYass;6800;python, live de python, dunossauro, datetime, date, time, timezone
Interfaces gráficas com PySImpleGUI - Live de Python #202;20220509;http://youtu.be/1xGLzxV4qq4;7080;PySimpleGUI, python, live de python, dunossauro, Tkinter, TK, QT, Remi, WxWindow, iniciante
Como usar arquivos temporários - Live de Python #201;20220502;http://youtu.be/bFV2-ulGy60;6300;python, live de python, dunossauro, tempfile, arquivos temporários, BytesIO, Bandit, segurança
Especial 5 anos | A história da live de Python - Live de Python #200;20220425;http://youtu.be/HERLgvSxDkI;7590;python, live de python, dunossauro, Especial, Aniversário, 5 anos
Manipulação de arquivos e pastas com pathlib - Live de Python #199;20220418;http://youtu.be/E_hox7iZjOE;7190;python, live de python, dunossauro, pathlib, mover, copiar, criar, deletar, arquivos, pastas, diretórios, os, os.path, shutil, stat, glob
Como criar logs em Python? - Live de Python #198 [Logging, Loguru, Sentry];20220413;http://youtu.be/PGAOqAWuwC0;6835;python, live de python, dunossauro, logging, handler, filter, formatter, loguru, sentry
Como debugar código Python? - Live de Python #197;20220406;http://youtu.be/yffiyHEiUvo;7300;python, live de python, dunossauro, pdb, debug, ipdb, rpdb, podman, docker
Criando API's robustas | Live de Python #196 - Com Cássio Botaro;20220328;http://youtu.be/K6YT2y38Zqc;6635;python, live de python, dunossauro, APIs, API, Cássio Botaro
Machine Learning com PyTorch | Live de Python #195 - Com Leon Sólon (Let's Data);20220321;http://youtu.be/OUyiK1kZHoM;8380;python, live de python, dunossauro, let's data, Leon Sólon
20 anos da espetacular versão 2.2 do Python - Com João JS Bueno - Live de Python #194;20220307;http://youtu.be/94FQUHVU39s;7980;python, live de python, dunossauro, João JS Bueno, Python 2.2
Me pergunte o que quiser sobre Python! - Live de Python #193;20220221;http://youtu.be/hB6bI4PneOk;7280;python, live de python, dunossauro
Como organizar um projeto Python? - Live de Python #192;20220214;http://youtu.be/O3bs4JtHrow;9645;python, live de python, dunossauro, organização, linters, virtualenv, make, pastas, diiretórios, pyenv, poetry, pytest, black, formatação, formatadores, isort, mkdocs, prospector
Ambientes virtuais e instalação de bibliotecas - Live de Python #191;20220207;http://youtu.be/naGF7EIUFp0;6685;python, live de python, dunossauro, pip, venv, virtualenv, pipx, ambientes virtuais, pipenv, poetry, virtualenvwrapper, instalação, bibliotecas
Dicas para aprender Python - Live de Python #190;20220131;http://youtu.be/HSotf1Amess;5165;aprender, dicas, python, live de python, dunossauro
Documentado projetos com MkDocs - Live de Python #189;20220110;http://youtu.be/GW6nAJ1NHUQ;6078;Python, Live de Python, Dunossauro, MkDocs, Documentação, MarkDown
Retrospectiva 2021 - Live de Python Especial;20211227;http://youtu.be/DtAJlFL7670;8550;Python, Live de Python, Dunossauro, retrospectiva, csv
Motion graphics com Blender - Live de Python #188;20211220;http://youtu.be/LIvLEmMYyX4;7045;Python, Live de Python, Dunossauro, blender, motion graphics, animações
Ofuscando código com pyArmor e pyMinifier - Live de Python #187;20211213;http://youtu.be/HT9GJKz-vYs;6590;Python, Live de Python, Dunossauro, pyarmor, pyminifier, compileall, ofuscaç, ão, obfuscate
Me pergunte o que quiser sobre Python - Live de Python #186;20211206;http://youtu.be/wb8Bv5VLPkg;8179;Python, Live de Python, Dunossauro
GraphQL (Strawberry e FastAPI) - Live de Python #185;20211129;http://youtu.be/3h8K29U5_HA;8480;GraphQL, Strawberry, SQLModel, FastAPI, Python, Live de Python, Dunossauro, Type hints, data classes
Organizando projetos Python com GNU Make - Live de Python #184 - Com João Lugão;20211122;http://youtu.be/Bb_TvqoUxX4;7090;Python, Live, Live de Python, dunossauro, João Lugão, Make, GNU, Makefile
Fazendo música com FoxDot - Live de Python #183;20211115;http://youtu.be/zVnV5s07i8U;7555;Python, Live, Live Code, FoxDot, SuperCollider, Live de Python, Eduardo Mendes, dunossauro, Música, music
Introdução ao Cython - Live de Python #182;20211108;http://youtu.be/wfjJWf-jebI;7256;Live de Python, Eduardo Mendes, Python, cython, C/C++, otimização, cProfile, pstats, setup.py, cythozine
Formatação de strings - Live de Python #181;20211101;http://youtu.be/fkGFNOOmXsY;6576;Live de Python, Eduardo Mendes, Python, f string, strings, format, .format
Aplicativo android com kivyMD - Live de Python #180;20211018;http://youtu.be/ncPxLt2qWM8;7165;Live de Python, Eduardo Mendes, Python, KivyMD, kivy, buildozer, plyer, hotreload
