ano,mes,dia,temp_MAX,temp_MIN,temp_MED
1917.0,4,8,21.0,15.399999618530273,18.200000762939453
1917.0,4,9,29.0,13.800000190734863,21.399999618530273
1917.0,4,10,26.399999618530273,13.800000190734863,20.100000381469727
1917.0,4,11,26.600000381469727,12.800000190734863,19.700000762939453
1917.0,4,12,25.799999237060547,12.399999618530273,19.099998474121094
1917.0,4,13,27.0,10.199999809265137,18.600000381469727
1917.0,4,14,29.5,11.5,20.5
1917.0,4,15,29.399999618530273,12.399999618530273,20.899999618530273
1917.0,4,16,29.600000381469727,15.0,22.299999237060547
1917.0,4,17,30.0,15.600000381469727,22.799999237060547
1917.0,4,18,29.200000762939453,14.399999618530273,21.799999237060547
1917.0,4,19,27.5,18.0,22.75
1917.0,4,20,28.0,17.799999237060547,22.899999618530273
1917.0,4,21,25.0,17.600000381469727,21.299999237060547
